title,href,ingredients
Kahla_Cooler_Recipe,http://www.grouprecipes.com/2910/kahla-cooler.html,milk
The_Oreo_Ritual_Recipe,http://www.grouprecipes.com/43289/the-oreo-ritual.html,milk
Eclair_Cake_Recipe,http://www.grouprecipes.com/35690/eclair-cake.html,milk
The_Hummer_Drink_Recipe,http://www.grouprecipes.com/58877/the-hummer-drink.html,milk
Banana_Pudding_Pops,http://www.eatingwell.com/recipes/banana_pudding_pops.html,milk
Sweet_Potato_Casserole,http://www.eatingwell.com/recipes/sweet_potato_casserole.html,milk
Caramelized_Pear_Bread_Pudding,http://www.eatingwell.com/recipes/pear_bread_pudding.html,milk
Baked_Apple-Cinnamon_French_Toast,http://www.eatingwell.com/recipes/apple_cinnamon_french_toast.html,milk
Creamed_Spinach,http://www.eatingwell.com/recipes/creamed_spinach.html,milk
Broccoli_&_Goat_Cheese_Souffl&#233,http://www.eatingwell.com/recipes/broccoli_cheese_souffle.html,milk
Cafe_Latte,http://www.kraftfoods.com/kf/recipes/cafe-latte-54971.aspx,"milk, espresso"
Cheesy_Apple_Rings,http://www.kraftfoods.com/kf/recipes/cheesy-apple-rings-75577.aspx,"apple, milk"
Cafe_Latte,http://www.kraftfoods.com/kf/recipes/cafe-latte-54971.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"milk, espresso"
JELL-O_Homemade_Pudding_Pops,http://www.kraftfoods.com/kf/recipes/jell-o-homemade-pudding-pops-53221.aspx,"jello, milk"
Pudding_Poke_Brownies,http://www.kraftfoods.com/kf/recipes/pudding-poke-brownies-57178.aspx,"milk, jello"
Simple_Powdered_Sugar_Icing,http://www.kraftfoods.com/kf/recipes/simple-powdered-sugar-icing-56132.aspx,"powdered sugar, milk"
Easy_JELL-OÂ®_Pudding_Milk_Shake,http://www.kraftfoods.com/kf/recipes/easy-jell-o-pudding-milk-50880.aspx,"milk, jello"
JELL-O_Homemade_Pudding_Pops,http://www.kraftfoods.com/kf/recipes/jell-o-homemade-pudding-pops-53221.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"jello, milk"
Powdered_Sugar_Icing,http://www.kraftfoods.com/kf/recipes/powdered-sugar-icing-56138.aspx,"powdered sugar, milk"
Green_Chili_Tomato_Soup,http://allrecipes.com/Recipe/Green-Chili-Tomato-Soup/Detail.aspx,"cheddar cheese, milk"
Easy_Arabic_Yogurt,http://www.recipezaar.com/Arabic-Yogurt-353740,"milk, yogurt"
Frozen_Pudding_Pops,http://www.recipezaar.com/Frozen-Pudding-Pops-86682,"pudding, milk"
Nutella_Hot_Chocolate,http://www.recipezaar.com/Nutella-Hot-Chocolate-74086,"milk, nutella"
Substitute_for_Buttermilk,http://www.recipezaar.com/Substitute-for-Buttermilk-124413,"lemon juice, milk"
Bisquick_Dumplings,http://www.recipezaar.com/Bisquick-Dumplings-269611,"bisquick, milk"
Turkey_Pot_Pie_III,http://allrecipes.com/Recipe/Turkey-Pot-Pie-III/Detail.aspx,"turkey, milk"
Fluff_Dip_for_Fruit,http://allrecipes.com/Recipe/Fluff-Dip-for-Fruit/Detail.aspx,"amaretto liqueur, milk"
Death_by_Chocolate,http://allrecipes.com/Recipe/Death-by-Chocolate/Detail.aspx,"milk, coffee"
Kool-Aid_Sherbet,http://allrecipes.com/Recipe/Kool-Aid-Sherbet/Detail.aspx,"milk, sugar"
Insomnia_No_More_With_Honey_Induced_Sweet_Dreams,http://www.recipezaar.com/Insomnia-No-More-With-Honey-Induced-Sweet-Dreams-112723,"honey, milk"
Chocolate_Fudge_Pops,http://allrecipes.com/Recipe/Chocolate-Fudge-Pops/Detail.aspx,"milk, sugar"
Mock_Lemon_Chiffon_Cake,http://allrecipes.com/Recipe/Mock-Lemon-Chiffon-Cake/Detail.aspx,"milk, strawberries"
Coconut_Cream_Pie_I,http://allrecipes.com/Recipe/Coconut-Cream-Pie-I/Detail.aspx,"flaked coconut, milk"
Berry_Trifle,http://allrecipes.com/Recipe/Berry-Trifle/Detail.aspx,"milk, liqueur"
Dirt_Cake_III,http://allrecipes.com/Recipe/Dirt-Cake-III/Detail.aspx,"butter, milk"
Chocolate_Eclair_Dessert,http://allrecipes.com/Recipe/Chocolate-Eclair-Dessert/Detail.aspx,"graham cracker, milk"
Cool_Whipped_Frosting,http://allrecipes.com/Recipe/Cool-Whipped-Frosting/Detail.aspx,"milk, vanilla extract"
Chocolate_Eclair,http://allrecipes.com/Recipe/Chocolate-Eclair/Detail.aspx,"powdered sugar, milk"
Batido_De_Mango_Mango_Shake,http://www.recipezaar.com/Batido-De-Mango-Mango-Shake-120817,"mango, milk"
Easy-Bake_Oven_Cake_Using_Commercial_Cake_Mixes,http://www.recipezaar.com/Easy-Bake-Oven-Cake-Using-Commercial-Cake-Mixes-147458,"cake mix, milk"
